2	10	4	0.2128	0.2394	0.266				
2	10	4	0.4432	0.4986	0.554				
2	10	4	0.5362	0.6032	0.6702				
2	10	4	0.7312	0.8226	0.914				
2	10	8	0.0777	0.0874	0.0971				
2	10	4	0.6255	0.7037	0.7818				
2	10	4	0.7282	0.8192	0.9102				
2	11	1	0.6314	0.7103	0.7892				
2	11	1	0.6379	0.7177	0.7974				
2	11	1	0.1696	0.1908	0.212				
2	11	1	0.3953	0.4447	0.4942				
2	11	1	0.6959	0.7828	0.8698				
2	11	1	0.7277	0.8186	0.9096				
2	11	1	0.7578	0.8525	0.9473				
2	11	1	0.4131	0.4648	0.5164				
2	11	1	0.6799	0.7649	0.8499				
2	11	1	0.7639	0.8594	0.9549				
2	12	9	0.1416	0.1593	0.177				
2	12	8	0.1264	0.1422	0.158				
2	12	9	0.0801	0.0901	0.1001				
2	12	4	0.1252	0.1408	0.1564				
2	12	4	0.3283	0.3693	0.4103				
2	12	9	0.3663	0.4121	0.4579				
2	12	9	0.6023	0.6775	0.7528				
2	12	5	0.0947	0.1065	0.1184				
2	12	9	0.5295	0.5957	0.6619				
2	12	9	0.7616	0.8568	0.952				
2	13	8	0.1087	0.1223	0.1359				
2	13	8	0.1342	0.1509	0.1677				
2	13	8	0.0911	0.1025	0.1139				
2	13	8	0.0867	0.0975	0.1084				
2	13	8	0.3705	0.4168	0.4631				
2	13	8	0.3504	0.3942	0.4379				
2	13	8	0.7498	0.8435	0.9372				
2	13	5	0.0889	0.1	0.1111				
2	13	8	0.2059	0.2316	0.2574				
2	13	8	0.2803	0.3154	0.3504				
2	14	1	0.6261	0.7043	0.7826				
2	14	1	0.6168	0.6939	0.771				
2	14	1	0.2064	0.2322	0.258				
2	14	1	0.4309	0.4848	0.5387				
2	14	1	0.6951	0.782	0.8689				
2	14	1	0.7276	0.8186	0.9095				
2	14	1	0.7577	0.8524	0.9471				
2	14	1	0.4916	0.553	0.6145				
2	14	1	0.6775	0.7622	0.8469				
2	14	1	0.7639	0.8594	0.9549				
2	15	8	0.1087	0.1223	0.1359				
2	15	8	0.1342	0.1509	0.1677				
2	15	4	0.069	0.0776	0.0862				
2	15	2	0.0702	0.0789	0.0877				
2	15	5	0.1232	0.1386	0.154				
2	15	6	0.1489	0.1676	0.1862				
2	15	8	0.6502	0.7315	0.8128				
2	15	9	0.073	0.0821	0.0912				
2	15	8	0.2059	0.2316	0.2574				
2	15	8	0.5093	0.5729	0.6366				
2	16	3	0.2397	0.2697	0.2997				
2	16	3	0.3487	0.3923	0.4359				
2	16	5	0.0789	0.0887	0.0986				
2	16	7	0.0886	0.0996	0.1107				
2	16	3	0.2909	0.3272	0.3636				
2	16	3	0.5888	0.6623	0.7359				
2	16	5	0.5866	0.6599	0.7333				
2	16	5	0.1215	0.1367	0.1519				
2	16	3	0.4043	0.4549	0.5054				
2	16	3	0.7612	0.8563	0.9514				
2	17	3	0.3471	0.3905	0.4338				
2	17	3	0.3866	0.4349	0.4832				
2	17	3	0.1283	0.1444	0.1604				
2	17	3	0.1255	0.1412	0.1569				
2	17	3	0.4059	0.4566	0.5073				
2	17	3	0.5633	0.6338	0.7042				
2	17	3	0.7362	0.8282	0.9202				
2	17	5	0.0956	0.1075	0.1195				
2	17	3	0.4437	0.4992	0.5547				
2	17	3	0.7598	0.8548	0.9497				
2	18	4	0.1767	0.1988	0.2209				
2	18	4	0.303	0.3408	0.3787				
2	18	7	0.0669	0.0753	0.0837				
2	18	4	0.105	0.1182	0.1313				
2	18	4	0.4045	0.4551	0.5056				
2	18	4	0.4371	0.4918	0.5464				
2	18	4	0.5381	0.6054	0.6726				
2	18	9	0.0837	0.0942	0.1047				
2	18	4	0.6234	0.7014	0.7793				
2	18	4	0.6175	0.6947	0.7719				
2	19	3	0.3571	0.4017	0.4463				
2	19	3	0.3841	0.4321	0.4802				
2	19	3	0.1054	0.1186	0.1318				
2	19	3	0.0971	0.1093	0.1214				
2	19	3	0.4654	0.5235	0.5817				
2	19	3	0.616	0.6929	0.7699				
2	19	3	0.7532	0.8473	0.9414				
2	19	8	0.1284	0.1445	0.1605				
2	19	3	0.3971	0.4468	0.4964				
2	19	3	0.7633	0.8587	0.9541				
2	20	0	0.6394	0.7193	0.7993				
2	20	0	0.6508	0.7322	0.8136				
2	20	0	0.121	0.1361	0.1512				
2	20	0	0.3124	0.3515	0.3905				
2	20	0	0.6953	0.7822	0.8691				
2	20	0	0.7272	0.8181	0.909				
2	20	0	0.7521	0.8461	0.9401				
2	20	0	0.3963	0.4458	0.4954				
2	20	0	0.6799	0.7649	0.8499				
2	20	0	0.7638	0.8592	0.9547				
2	21	9	0.292	0.3285	0.365				
2	21	7	0.3101	0.3489	0.3877				
2	21	7	0.1694	0.1906	0.2117				
2	21	7	0.1591	0.179	0.1989				
2	21	7	0.4209	0.4735	0.5261				
2	21	7	0.6744	0.7587	0.843				
2	21	7	0.6586	0.741	0.8233				
2	21	7	0.1674	0.1883	0.2092				
2	21	7	0.668	0.7515	0.835				
2	21	7	0.7174	0.8071	0.8968				
2	22	2	0.6405	0.7206	0.8006				
2	22	2	0.6503	0.7316	0.8129				
2	22	1	0.0739	0.0832	0.0924				
2	22	2	0.0741	0.0833	0.0926				
2	22	2	0.3281	0.3692	0.4102				
2	22	2	0.4032	0.4535	0.5039				
2	22	2	0.7572	0.8519	0.9465				
